,Type,CompanyName,ServiceType,ServiceTypeDetail,ListDate,FiscalMonth,CEO,Location,CompanyCode
피에스케이,코스닥,피에스케이,특수 목적용 기계 제조업,"드라이 스트립, 드라이 클리닝",2019-05-10,12월,"박경수, 이경일",경기도,319660
엔에이치스팩14호,코스닥,엔에이치스팩14호,금융 지원 서비스업,기타 금융지원(SPAC),2019-05-08,12월,이준효,서울특별시,319400
SNK,코스닥,SNK,소프트웨어 개발 및 공급업,"IP 라이센스, 콘솔, 모바일 게임",2019-05-07,07월,"토야마 코이치, 갈지휘",일본,950180
한화에스비아이스팩,코스닥,한화에스비아이스팩,금융 지원 서비스업,기업인수합병,2019-05-03,12월,이준효,서울특별시,317320
하이제4호스팩,코스닥,하이제4호스팩,금융 지원 서비스업,기업인수합병,2019-04-29,12월,정종석,서울특별시,317240
이노벡스,코넥스,이노벡스,전자부품 제조업,"TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",2019-04-12,12월,채균,경기도,279060
아모그린텍,코스닥,아모그린텍,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서,2019-03-29,12월,양성철,경기도,125210
현대오토에버,유가증권,현대오토에버,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28,12월,오일석,서울특별시,307950
지노믹트리,코스닥,지노믹트리,의료용품 및 기타 의약 관련제품 제조업,암 조기진단 제품,2019-03-27,12월,안성환,대전광역시,228760
케이비17호스팩,코스닥,케이비17호스팩,금융 지원 서비스업,금융사업지원서비스,2019-03-27,12월,김정효,서울특별시,317030
이지케어텍,코스닥,이지케어텍,소프트웨어 개발 및 공급업,의료정보시스템,2019-03-22,03월,위원량,서울특별시,99750
유안타제4호스팩,코스닥,유안타제4호스팩,금융 지원 서비스업,기업인수합병,2019-03-21,12월,신기철,서울특별시,313750
미래에셋벤처투자,코스닥,미래에셋벤처투자,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019-03-15,12월,김응석,경기도,100790
드림텍,유가증권,드림텍,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,12월,김형민,경기도,192650
더블유게임즈,유가증권,더블유게임즈,소프트웨어 개발 및 공급업,온라인 게임,2019-03-12,12월,김가람,서울특별시,192080
에코프로비엠,코스닥,에코프로비엠,일차전지 및 축전지 제조업,양극활물질,2019-03-05,12월,권우석,충청북도,247540
셀리드,코스닥,셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,2019-02-20,12월,강창율,서울특별시,299660
우리금융지주,유가증권,우리금융지주,기타 금융업,금융지주,2019-02-13,12월,손태승,서울특별시,316140
천보,코스닥,천보,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재",2019-02-11,12월,이상율,충청북도,278280
이노테라피,코스닥,이노테라피,자연과학 및 공학 연구개발업,"의료용지혈제, 밀폐제 및 접착제",2019-02-01,12월,이문수,서울특별시,246960
노랑풍선,코스닥,노랑풍선,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매",2019-01-30,12월,김인중,서울특별시,104620
웹케시,코스닥,웹케시,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스",2019-01-25,12월,윤완수,서울특별시,53580
엘에이티,코넥스,엘에이티,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",2018-12-28,12월,박강일,경기도,311060
대원모방,코넥스,대원모방,직물직조 및 직물제품 제조업,"섬유, 모방",2018-12-27,12월,김석만,충청북도,311840
에어부산,유가증권,에어부산,항공 여객 운송업,항공 여객 및 화물 운송,2018-12-27,12월,한태근,부산광역시,298690
비피도,코스닥,비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018-12-26,12월,지근억,강원도,238200
지놈앤컴퍼니,코넥스,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업,생체유익균 치료제/건강기능식품/화장품,2018-12-26,12월,배지수,경기도,314130
키움제5호스팩,코스닥,키움제5호스팩,금융 지원 서비스업,기업인수합병,2018-12-26,12월,김학균,서울특별시,311270
엔에이치스팩13호,코스닥,엔에이치스팩13호,금융 지원 서비스업,기업인수합병,2018-12-24,12월,강옥구,서울특별시,310840
유틸렉스,코스닥,유틸렉스,기초 의약물질 및 생물학적 제제 제조업,"면역항암 세포치료제, 면역항암 항체치료제",2018-12-24,12월,권병세,서울특별시,263050
디케이티,코스닥,디케이티,전자부품 제조업,스마트폰용 FPCA,2018-12-21,12월,최남채,인천광역시,290550
미래에셋대우스팩2호,코스닥,미래에셋대우스팩2호,금융 지원 서비스업,기업인수합병,2018-12-21,12월,박광열,서울특별시,310200
신영스팩4호,코스닥,신영스팩4호,금융 지원 서비스업,기업인수,2018-12-21,12월,손혁,서울특별시,307180
테크엔,코넥스,테크엔,전구 및 조명장치 제조업,LED조명장치,2018-12-21,12월,이영섭,대구광역시,308700
삼성머스트스팩3호,코스닥,삼성머스트스팩3호,금융 지원 서비스업,기업인수합병,2018-12-20,12월,이일근,서울특별시,309930
위지윅스튜디오,코스닥,위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",2018-12-20,12월,"박관우, 박인규",서울특별시,299900
한국제8호스팩,코스닥,한국제8호스팩,금융 지원 서비스업,기업인수 및 합병,2018-12-20,12월,진성태,서울특별시,310870
대신밸런스제6호스팩,코스닥,대신밸런스제6호스팩,금융 지원 서비스업,기업 인수 및 합병,2018-12-19,12월,장우철,서울특별시,307750
에이비엘바이오,코스닥,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,2018-12-19,12월,이상훈,경기도,298380
프로테옴텍,코넥스,프로테옴텍,의료용품 및 기타 의약 관련제품 제조업,"알러지진단키트, 임신진단테스트기, 면역진단키트",2018-12-19,12월,임국진,서울특별시,303360
머큐리,코스닥,머큐리,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018-12-14,12월,임채병,인천광역시,100590
전진바이오팜,코스닥,전진바이오팜,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제",2018-12-14,12월,이태훈,대구광역시,110020
뉴트리,코스닥,뉴트리,기타 식품 제조업,"에버콜라겐, 판도라 다이어트 등",2018-12-13,12월,김도언,경기도,270870
골든브릿지이안5호,코스닥,골든브릿지이안5호,금융 지원 서비스업,기업인수합병,2018-12-12,12월,이지연,서울특별시,307870
